simp,grammar,eng
的,particle,indicates possession
我,pronoun,I; me
你,pronoun,you (singular)
是,verb,be; is; are; am
了,particle,indicates a completed or finished action
不,particle,no; not
在,particle,at; on; in; indicates an action in progress
他,pronoun,he; him
我们,pronoun,we; us
好,adjective,good
有,verb,have
这,pronoun,this
会,verb,know how to
吗,particle,indicates a yes/no question (added to a statement)
什么,particle,what? (replaces the noun to turn a statement into a question)
说,verb,speak
她,pronoun,she
想,verb,think; believe; suppose; would like to
一,particle,one; once; a
很,adverb,very; quite
人,noun,person; man; people
那,pronoun,that; then
来,verb,come; arrive; ever since; next
都,adverb,all; both
个,measure word,general measure word
能,verb,can; be able
去,verb,go; to leave
和,particle,and; with
做,verb,do; make
上,adverb,above; up
没有,verb,not have; there is not
看,verb,see; look at; to watch
怎么,particle,how?
现在,adverb,now
点,particle,a dot; a little; o'clock
呢,particle,indicates a question; how about...?;
太,adverb,too (much)
里,adverb,inside; Chinese mile (~.5 km)
听,verb,listen; hear
谁,pronoun,who
多,adverb,many
时候,noun,time
下,verb,fall; below
谢谢,verb,thank you
先生,noun,Mr.; Sir
喜欢,verb,to like
大,adjective,big; large
东西,noun,things; stuff
小,adjective,small; young
叫,verb,to be called
爱,verb,love
年,noun,year
请,particle,please; invite; to treat someone to something
回,verb,to return; to reply; to go back
工作,noun,work; a job
钱,noun,money; coin
吃,verb,eat
开,verb,to open; to start; to operate (a vehicle)
家,noun,family; home
哪,pronoun,which; how
朋友,noun,friend
妈妈,noun,mom; mum
今天,adverb,today
几,particle,how many; several; a few
爸爸,noun,Dad
些,particle,some; few; several
怎么样,particle,how about?; how is/was it?
对不起,particle,sorry
住,verb,to live; reside; to stop
三,particle,three
高兴,adjective,happy; glad
买,verb,to buy
医生,noun,doctor
哪儿,pronoun,where? 
字,noun,letter; character
名字,noun,name
认识,verb,recognize; know (a person)
坐,verb,sit
喝,verb,to drink
写,verb,to write; to compose
月,noun,moon; month; flesh (radical)
号,noun,number; day of a month
狗,noun,dog
岁,particle,years old; age
看见,verb,see; catch sight of
打电话,verb,make a phone call
喂,particle,hello (on the phone)
儿子,noun,son
漂亮,adjective,pretty; beautiful
分钟,noun,minute; (measure word for time)
再见,particle,goodbye; see you later
本,measure word,measure word for books
明天,adverb,tomorrow
少,adverb,few; little
多少,particle,how much?; how many?
块,measure word,lump; piece; sum of money
女儿,noun,daughter
小姐,noun,young lady; miss; Ms.
衣服,noun,clothes
水,noun,water
学校,noun,school
电影,noun,movie; film
书,noun,book; letter
四,particle,four
五,particle,five
医院,noun,hospital
没关系,particle,it doesn't matter; never mind
飞机,noun,airplane
二,particle,two
电视,noun,television; TV
读,verb,to read; to study
后面,adverb,back; behind
昨天,adverb,yesterday
睡觉,verb,to sleep; go to bed
六,particle,six
老师,noun,teacher
星期,noun,week
十,particle,ten
猫,noun,cat
电脑,noun,computer
热,adjective,heat; hot
学生,noun,student
下午,adverb,afternoon
学习,verb,learn; to study
冷,adjective,cold
不客气,particle,you're welcome; don't be polite
前面,adverb,in front
八,particle,eight
中国,noun,China
七,particle,seven
菜,noun,dish (type of food); vegetables
桌子,noun,table; desk
出租车,noun,taxi; cab
天气,noun,weather
茶,noun,tea
九,particle,nine
商店,noun,shop; store
椅子,noun,chair
同学,noun,fellow student; schoolmate
一点儿,adverb,a bit; a few
苹果,noun,apple
饭店,noun,restaurant; hotel
中午,adverb,noon; midday
上午,adverb,late morning (before noon)
水果,noun,fruit
杯子,noun,cup; glass
下雨,verb,to rain
米饭,noun,(cooked) rice
北京,noun,Beijing
汉语,noun,Chinese language
